time_x,current_performance,target_performance,cpu_node_percentage,net_node_percentage,io_node_percentage
3673,700000.000000,650000.000000,0.065000,0.029483,0.127077
3678,700000.000000,650000.000000,0.065000,0.029483,0.127077
3683,700000.000000,650000.000000,0.065000,0.029483,0.127077
3688,700000.000000,650000.000000,0.065000,0.029483,0.127077
3692,700000.000000,650000.000000,0.065000,0.029483,0.127077
3697,700000.000000,650000.000000,0.065000,0.029483,0.127077
3702,700000.000000,650000.000000,0.065000,0.029483,0.127077
3707,700000.000000,650000.000000,0.065000,0.029483,0.127077
3712,700000.000000,650000.000000,0.065000,0.029483,0.127077
3716,700000.000000,650000.000000,0.065000,0.029483,0.127077
3722,700000.000000,650000.000000,0.065000,0.029483,0.127077
3726,700000.000000,650000.000000,0.065000,0.029483,0.127077
3731,700000.000000,650000.000000,0.065000,0.029483,0.127077
3736,700000.000000,650000.000000,0.065000,0.029483,0.127077
3741,700000.000000,650000.000000,0.065000,0.029483,0.127077
3746,700000.000000,650000.000000,0.065000,0.029483,0.127077
3750,700000.000000,650000.000000,0.065000,0.029483,0.127077
3755,700000.000000,650000.000000,0.065000,0.029483,0.127077
3760,700000.000000,650000.000000,0.065000,0.029483,0.127077
3765,700000.000000,650000.000000,0.065000,0.029483,0.127077
3769,700000.000000,650000.000000,0.065000,0.029483,0.127077
3774,700000.000000,650000.000000,0.065000,0.029483,0.127077
3779,700000.000000,650000.000000,0.065000,0.029483,0.127077
3784,700000.000000,650000.000000,0.065000,0.029483,0.127077
3789,700000.000000,650000.000000,0.065000,0.029483,0.127077
3793,700000.000000,650000.000000,0.065000,0.029483,0.127077
3799,700000.000000,650000.000000,0.065000,0.029483,0.127077
3803,700000.000000,650000.000000,0.065000,0.029483,0.127077
3808,700000.000000,650000.000000,0.065000,0.029483,0.127077
3813,700000.000000,650000.000000,0.065000,0.029483,0.127077
3818,700000.000000,650000.000000,0.065000,0.029483,0.127077
3823,700000.000000,650000.000000,0.065000,0.029483,0.127077
